X,Y,Y,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Y,,,,,,Y,,S,X,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Y,Y,X,Y,X,X,R,X,X,Y,X,X,S,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,R,,,,,,,,
,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,,,,,,,
,,,,,,,,,,,,,,X,Y,Y,Y,X,Y,X,X,R,X,X,Y,S,X,X,X,X,Y,X,X,R,X,X,Y,X,X,X,X,X,Y,X,X,R,X,X,Y,S,X,X,X,X,Y,X,X,R,X,X,Y,X,Y,X,X,R,X,X,Y,X,R,,
,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,Y,,,,,,Y,,,,
,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,X,R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Y,Y,X,Y,Y,Y,Y,Y,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,,,,,Y,,S,X,,,,,,,,,,,,,,,,S,X,,,,,,Y,Y,Y,Y,Y,X,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,X,X,R,X,X,Y,X,X,S,,,,,,X,Y,Y,Y,Y,X,Y,Y,Y,Y,Y,S,,,,,,X,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,Y,,,,,Y,,Y,,,,,,Y,,,Y,,,,,,Y,,Y,X,X,R,X,X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Y,,Y,X,X,R,X,X,Y,X,,Y,,,,,,Y,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,Y,Y,X,Y,Y,Y,,Y,,,,,,,X,,Y,Y,Y,X,Y,Y,Y,,X,,,,,,Y,X,X,R,X,X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Y,,,,,,Y,,X,,,,,,,X,,Y,,,,,,Y,,X,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
